Номер драфта,тип дефекта,дата открытия,дата закрытия,Дата наступления SLA,Дней в работе,Дн,Статус,Команда устр проблему,Приоритет,Тематика,Метки,Кол-во инцидентов,Норматив,Дн,Выполнение норматива,Сервис ошибки
ADIRINC-1576,Дефект промсреды,2024-03-28 13:07:44,2024-04-16 10:52:56,2024-06-28 0:00:00,12.906388888888888,Дней,Закрыт,Pro terminal,Средний,Терминалы (кроме QUIK) - Вход в терминал выполняется долго (дольше 3 минут) (2) - high,,,60,Дней,Да,Альфа Инвестиции 4.0. ДТ
ADIRINC-1569,Дефект промсреды,2024-03-22 11:03:29,,2024-06-22 0:00:00,104.92891203703704,Дней,Новый,Pro terminal,Средний,Заявки - Другое (2) - high,,,60,Дней,Нет,АИ ПРО ДТ
ADIRINC-1564,Дефект промсреды,2024-03-21 11:18:04,,2024-06-21 0:00:00,105.91878472222221,Дней,Ретест дефекта,Pro terminal,Средний,Рынок - Некорректные графики  по одному или нескольким рынкам за предыдущие дни (3) - low,,,60,Дней,Нет,Альфа Инвестиции 4.0. ДТ
ADIRINC-1565,Дефект промсреды,2024-03-21 12:05:48,,2024-06-21 0:00:00,105.88563657407407,Дней,Новый,Pro terminal,Средний,другое,,,60,Дней,Нет,Альфа Инвестиции 4.0. ДТ
ADIRINC-1567,Дефект промсреды,2024-03-21 17:16:23,2024-05-20 11:16:00,2024-06-21 0:00:00,37.7497337962963,Дней,Закрыт,Pro terminal,Средний,Портфель - Другое (4) - low,,,60,Дней,Да,Личный кабинет
ADIRINC-1544,Дефект промсреды,2024-03-15 14:57:25,2024-06-17 8:18:32,2024-06-15 0:00:00,60.722997685185184,Дней,Закрыт,Pro terminal,Средний,Рынок - Некорректные графики  по одному или нескольким рынкам за предыдущие дни (3) - low,,,60,Дней,Нет,Альфа Инвестиции 4.0. ДТ
ADIRINC-1541,Дефект промсреды,2024-03-14 11:18:07,,2024-06-14 0:00:00,110.91875,Дней,Новый,Pro terminal,Средний,другое,,,60,Дней,Нет,Альфа Инвестиции 4.0. ДТ
ADIRINC-1526,Дефект промсреды,2024-03-04 17:12:29,,2024-06-04 0:00:00,117.67266203703704,Дней,Новый,Pro terminal,Средний,Рынок - Некорректные графики  по одному или нескольким рынкам за предыдущие дни (3) - low,,,60,Дней,Нет,Альфа Инвестиции 4.0. ДТ
ADIRINC-1579,Дефект промсреды,2024-03-28 14:07:38,2024-03-28 14:12:23,2024-06-28 0:00:00,0.0032986111111111115,Дней,Закрыт,Web,Средний,Заявки - Другое (2) - high,,,60,Дней,Да,АИ ПРО ВТ
ADIRINC-1582,Дефект промсреды,2024-03-28 17:53:29,2024-04-18 15:04:41,2024-06-28 0:00:00,14.882777777777777,Дней,Закрыт,Web,Средний,Выводы ДС  - Не проходят выводы с Инвесткопилки (4) - low,,,60,Дней,Да,Личный кабинет
ADIRINC-1570,Дефект промсреды,2024-03-22 13:18:29,2024-05-06 13:20:37,2024-06-22 0:00:00,29.00148148148148,Дней,Закрыт,,Средний,Портфель - Другое (4) - low,,,60,Дней,Да,АИ ПРО ВТ
ADIRINC-1568,Дефект промсреды,2024-03-21 23:25:06,2024-05-29 10:02:28,2024-06-21 0:00:00,44.44261574074074,Дней,Закрыт,,Средний,Терминалы (кроме QUIK) - Вход в терминал выполняется долго (дольше 3 минут) (2) - high,,,60,Дней,Да,Мобильный терминал
ADIRINC-1539,Дефект промсреды,2024-03-12 10:26:31,2024-04-19 11:59:32,2024-06-11 0:00:00,28.064594907407407,Дней,Закрыт,,Средний,Рынок - Другое (4) - low,,,60,Дней,Да,Мобильный терминал
